area_code,pref_code,area_name,area_name_en,level,vacant_total_1958,vacant_for_rent_1958,vacant_for_sale_1958,vacant_secondary_1958,vacant_other_1958,vacant_total_1963,vacant_for_rent_1963,vacant_for_sale_1963,vacant_secondary_1963,vacant_other_1963,vacant_total_1968,vacant_for_rent_1968,vacant_for_sale_1968,vacant_secondary_1968,vacant_other_1968,vacant_total_1973,vacant_for_rent_1973,vacant_for_sale_1973,vacant_secondary_1973,vacant_other_1973,vacant_total_1978,vacant_for_rent_1978,vacant_for_sale_1978,vacant_secondary_1978,vacant_other_1978,vacant_total_1983,vacant_for_rent_1983,vacant_for_sale_1983,vacant_secondary_1983,vacant_other_1983,vacant_total_1988,vacant_for_rent_1988,vacant_for_sale_1988,vacant_secondary_1988,vacant_other_1988,vacant_total_1993,vacant_for_rent_1993,vacant_for_sale_1993,vacant_secondary_1993,vacant_other_1993,vacant_total_1998,vacant_for_rent_1998,vacant_for_sale_1998,vacant_secondary_1998,vacant_other_1998,vacant_total_2003,vacant_for_rent_2003,vacant_for_sale_2003,vacant_secondary_2003,vacant_other_2003,vacant_total_2008,vacant_for_rent_2008,vacant_for_sale_2008,vacant_secondary_2008,vacant_other_2008,vacant_total_2013,vacant_for_rent_2013,vacant_for_sale_2013,vacant_secondary_2013,vacant_other_2013,vacant_total_2018,vacant_for_rent_2018,vacant_for_sale_2018,vacant_secondary_2018,vacant_other_2018,vacant_total_2023,vacant_for_rent_2023,vacant_for_sale_2023,vacant_secondary_2023,vacant_other_2023
18000,18,福井県,Fukui-ken,prefecture,2000,,,,,3300,,,,,6510,,,,,8600,,,,,13600,,,500,,16200,7200,,1100,7900,19100,8600,,1800,8700,20600,9000,,2400,9300,28100,13800,,1700,12600,38300,19300,1200,2100,15800,46700,24100,900,1200,20500,43000,18800,500,1200,22500,45000,18700,1100,1400,23800,53100,20400,2400,1400,28900
19000,19,山梨県,Yamanashi-ken,prefecture,2100,,,,,3000,,,,,5900,,,,,9300,,,,,14000,,,900,,24700,8400,,7500,8900,35100,11900,,11700,11500,41200,14500,,14600,12100,52300,23600,,12900,15900,73600,31600,1500,22000,18600,80900,35600,3600,16200,25400,92900,37400,1800,20200,33600,90000,35600,1200,16500,36600,87200,31000,1900,17100,37200
20000,20,長野県,Nagano-ken,prefecture,9300,,,,,14300,,,,,18510,,,,,33500,,,,,47300,,,14600,,72600,21800,,25200,25500,83000,25100,,31800,26100,94700,28600,,36200,29900,129800,55300,,35500,39000,148900,58900,2600,43700,43600,183000,76200,3600,43700,59500,194000,64800,3800,51100,74400,197300,61100,3400,48400,84300,208500,57100,2900,56000,92300
21000,21,岐阜県,Gifu-ken,prefecture,5200,,,,,6800,,,,,15380,,,,,25100,,,,,38400,,,1200,,48600,25200,,4100,19300,55900,28400,,4600,22900,62000,33600,,4000,24400,84800,44700,,7700,32400,101900,55200,3300,6800,36600,117900,60400,3700,8200,45700,133400,62700,4100,8900,57600,139800,64100,3900,8400,63500,148400,61700,4000,8400,74400
22000,22,静岡県,Shizuoka-ken,prefecture,9600,,,,,12900,,,,,27920,,,,,48500,,,,,80100,,,21400,,94000,38800,,23000,32200,108900,49200,,30600,29100,121200,50700,,37900,32600,165700,82200,,40800,42700,201000,91700,6400,52900,49900,226800,104800,7700,51000,63300,270900,137200,7500,42900,83300,281600,142300,9200,41900,88300,296300,144400,8400,38500,104800
23000,23,愛知県,Aichi-ken,prefecture,19000,,,,,22700,,,,,54590,,,,,97800,,,,,167100,,,4900,,184600,108700,,7600,68300,210900,137000,,8100,65800,228900,145100,,13200,70600,298900,197800,,13700,87300,333400,204500,13600,14900,100400,343600,206400,14000,9000,114300,422000,264100,14900,8600,134500,393800,230900,13100,7200,142600,433000,251800,18300,6800,156000
24000,24,三重県,Mie-ken,prefecture,6900,,,,,6800,,,,,15280,,,,,22000,,,,,35100,,,2300,,44100,16500,,2500,25100,54600,21200,,4700,28700,59800,22000,,6000,31800,84800,37500,,6400,40900,101200,40900,3300,10300,46700,104600,41600,2800,7100,53200,128500,51000,2900,5700,69000,129600,43000,2500,6600,77500,142700,50800,3300,5500,83100
25000,25,滋賀県,Shiga-ken,prefecture,3700,,,,,3300,,,,,7160,,,,,12700,,,,,28500,,,3800,,28800,11000,,3300,14600,31700,13400,,3800,14600,38900,15700,,4800,18300,50200,21100,,6500,22600,63800,27600,2500,7900,25800,73300,28400,2100,7500,35300,77800,31300,3000,7900,35700,81200,32800,2800,7200,38300,81600,25100,3200,4700,48500
26000,26,京都府,Kyoto-fu,prefecture,7300,,,,,10300,,,,,21260,,,,,34900,,,,,62700,,,4200,,85800,47300,,6900,31600,98900,55300,,9700,33900,99800,56700,,8100,35000,135100,77900,,9600,47600,153100,75200,8200,12200,57500,167000,79400,10300,11000,66300,175300,80600,7700,9400,77500,171800,76700,6900,7000,81300,180400,81000,6900,7700,84900
27000,27,大阪府,Osaka-fu,prefecture,30000,,,,,40900,,,,,103720,,,,,165900,,,,,279100,,,9100,,327600,223400,,10300,93900,364200,255800,,17100,91300,369400,244700,,20100,104700,501300,372100,,22500,106700,603300,409800,41000,23200,129400,625100,392100,40900,15500,176700,678800,418700,31900,13800,214400,709400,453900,35800,10600,209200,701900,436100,30000,8800,226900
28000,28,兵庫県,Hyogo-ken,prefecture,22000,,,,,29000,,,,,56690,,,,,93700,,,,,139200,,,5500,,173100,98300,,7900,66900,195800,112200,,16200,67400,202000,119900,,14400,67700,299100,170300,,15200,113500,313600,171700,18900,19200,103800,336200,178200,20200,13900,123900,356500,172700,21400,14800,147700,360200,177700,18600,11900,151900,386900,180400,17400,16500,172700
29000,29,奈良県,Nara-ken,prefecture,2800,,,,,4400,,,,,9510,,,,,15700,,,,,25700,,,1100,,30800,14300,,2300,14200,38900,19800,,2300,16800,46100,23600,,2900,19600,64200,33600,,3800,26800,75700,36800,5900,4800,28200,86400,40500,5800,3400,36700,84500,35100,3700,3000,42700,87200,35200,3200,3200,45600,93600,39000,3100,2000,49500
30000,30,和歌山県,Wakayama-ken,prefecture,6400,,,,,7500,,,,,13510,,,,,17500,,,,,31700,,,700,,38500,16300,,4100,18100,49600,20000,,7300,22300,50800,20300,,6900,23600,62600,27300,,8800,26600,80400,30600,2700,12300,34700,83700,31600,3000,6700,42500,86000,27800,2400,7600,48200,98400,34000,2600,7400,54400,105300,35100,2400,8000,59800
31000,31,鳥取県,Tottori-ken,prefecture,1500,,,,,1900,,,,,4080,,,,,6300,,,,,9300,,,500,,14600,7100,,700,6900,18500,9000,,2000,7400,19500,8000,,2100,9500,23100,9600,,2600,10900,30000,12100,1200,3200,13400,38000,17100,900,1600,18500,35900,13200,500,1500,20700,39900,14900,800,1400,22800,41300,13800,1100,900,25400
32000,32,島根県,Shimane-ken,prefecture,3600,,,,,4700,,,,,6420,,,,,10000,,,,,13100,,,500,,16100,5500,,500,10000,19200,7100,,900,11200,22600,7700,,1200,13700,28100,8500,,1400,18200,31500,9800,700,1800,19200,44200,15000,600,2000,26600,44800,12900,800,2100,29000,48300,13000,600,1500,33200,54600,15700,1100,1500,36300
33000,33,岡山県,Okayama-ken,prefecture,6200,,,,,8500,,,,,17250,,,,,25300,,,,,43700,,,1100,,51800,22300,,1500,28000,73100,41600,,3100,28400,65100,32300,,3500,29300,100200,55100,,5000,40200,104200,50400,2600,4600,46600,128300,53200,2700,5100,67400,140100,61600,3100,3700,71700,142500,62200,3300,3600,73400,157200,65000,3800,5800,82600
34000,34,広島県,Hiroshima-ken,prefecture,11000,,,,,13200,,,,,25550,,,,,42700,,,,,66400,,,3800,,80100,41200,,2600,36300,100500,55900,,5100,39600,117800,60400,,6600,50900,156600,90000,,8400,58200,171600,90500,5800,9200,66100,198300,95200,5400,13000,84600,221300,105100,6500,8300,101400,215600,89000,5900,6600,114200,231400,102600,6200,7800,114700
35000,35,山口県,Yamaguchi-ken,prefecture,6200,,,,,10700,,,,,18450,,,,,23500,,,,,35300,,,800,,41700,16300,,1400,24000,53900,29300,,2500,22100,56300,24200,,3000,29100,70500,32500,,3100,34900,82200,35800,2400,4600,39500,104600,44400,2300,3500,54400,114400,43700,3500,4300,62900,126800,50300,2800,2300,71400,140700,53600,3700,2900,80500
36000,36,徳島県,Tokushima-ken,prefecture,3000,,,,,4800,,,,,8340,,,,,11700,,,,,17600,,,400,,25000,9800,,1100,14100,30000,14200,,1600,14200,36700,14200,,1900,20600,40800,17200,,4900,18700,46100,19900,1400,2500,22300,56500,24000,1100,3400,28000,64000,23300,1300,3400,36000,74100,30200,1500,3000,39300,83000,31300,2100,2000,47600
37000,37,香川県,Kagawa-ken,prefecture,3500,,,,,5100,,,,,8930,,,,,15200,,,,,25600,,,1500,,27600,11700,,2100,13800,34800,15800,,1900,17100,39400,18000,,3900,17400,49800,25800,,3800,20200,58400,27200,1600,3700,25800,71400,33200,1300,3900,33100,80900,30300,2000,3000,45700,88200,36900,1800,2800,46700,91500,38200,2200,3200,47900
38000,38,愛媛県,Ehime-ken,prefecture,8000,,,,,10000,,,,,17210,,,,,24500,,,,,35500,,,900,,48300,22300,,1200,24700,60000,30800,,2200,27100,67500,36500,,3700,27400,71500,31700,,4100,35700,88900,40100,2900,5700,40200,102800,49100,1900,3800,48000,123400,50300,2100,3900,67100,129800,49700,3100,3900,73100,145600,48400,3300,3800,90100
39000,39,高知県,Kochi-ken,prefecture,5500,,,,,6000,,,,,11350,,,,,17400,,,,,23000,,,600,,33700,14500,,1000,18100,43200,21100,,1400,20700,48500,23800,,1800,22800,46100,17700,,2900,25500,52500,20000,1700,3400,27500,62600,27400,900,3400,30800,69800,23700,1000,3700,41400,74600,21200,800,2400,50100,78700,24300,1700,2500,50100
40000,40,福岡県,Fukuoka-ken,prefecture,16000,,,,,29100,,,,,44170,,,,,70900,,,,,105100,,,1400,,132300,79700,,2400,50200,170400,123700,,3700,43100,172500,109600,,5800,57100,199100,131800,,6900,60300,242600,144000,10600,10000,78000,324600,203500,15600,7800,97700,316800,181200,12200,6700,116700,328600,180200,16700,5600,126000,335300,189100,16500,4300,125500
41000,41,佐賀県,Saga-ken,prefecture,3400,,,,,4900,,,,,7050,,,,,7500,,,,,9300,,,100,,12800,4800,,200,7800,16700,8200,,300,8100,18300,7600,,700,10100,24700,11400,,1000,12300,28400,12400,800,1500,13600,35700,15800,1100,1300,17600,43300,17200,900,1200,24000,50500,21100,1600,1000,26800,53300,22600,1400,1000,28300
42000,42,長崎県,Nagasaki-ken,prefecture,8200,,,,,12000,,,,,16620,,,,,20300,,,,,26800,,,800,,33200,15600,,1200,16400,50500,26400,,1000,23000,48900,23300,,1900,23600,64500,30900,,4200,29400,74500,33500,2200,3400,35400,88800,38900,2300,2500,45200,101800,42700,2200,3700,53200,101500,37900,2300,3600,57700,113000,41700,3300,3100,64900
43000,43,熊本県,Kumamoto-ken,prefecture,5700,,,,,6900,,,,,12260,,,,,18600,,,,,28800,,,1000,,36900,15600,,1000,20300,49100,27200,,1700,20200,57800,30100,,1700,26000,68100,34200,,4000,29900,81400,38600,2600,4600,35600,102800,48500,2800,5000,46500,114800,47700,2800,3900,60400,111900,41400,2900,3200,64400,127100,54300,3000,4800,65000
44000,44,大分県,Oita-ken,prefecture,4100,,,,,5800,,,,,11030,,,,,14500,,,,,26100,,,700,,31900,17900,,1800,12200,42600,25300,,2200,15100,44500,24000,,2700,17800,58800,28200,,5100,25600,65700,32800,2600,4300,26000,77200,37500,2000,3300,34400,89900,38800,2000,5400,43800,97700,42100,2100,4800,48700,115500,48800,2200,6500,58000
45000,45,宮崎県,Miyazaki-ken,prefecture,3900,,,,,4800,,,,,10860,,,,,14200,,,,,20900,,,300,,26700,11900,,500,14300,34300,17400,,1100,15700,37900,16700,,1600,19600,48300,21200,,2700,24400,53500,22900,1500,3100,25900,62900,27100,2000,1700,32100,74200,27500,1500,1700,43600,84200,30900,2000,1500,49900,90700,31900,2200,1500,55000
