survey_year,area_code,pref_code,pref_name,city_name,ward_name,full_name,level,dwellings_total,occupied_total,occupied_exclusive,occupied_shared,unoccupied_total,temporary_occupants_only,vacant_total,vacant_for_rent,vacant_for_sale,vacant_secondary,vacant_other,under_construction,other_buildings,vacant_rate_pct,vacant_other_rate_pct,vacant_for_rent_rate_pct
2023,01224,01,北海道,千歳市,,北海道 千歳市,city,51060,43870,43570,300,7190,250,6830,5040,100,140,1550,110,120,13.38,3.04,9.87
2023,01225,01,北海道,滝川市,,北海道 滝川市,city,22100,18160,17960,200,3940,160,3790,1950,150,10,1680,,10,17.15,7.6,8.82
2023,01226,01,北海道,砂川市,,北海道 砂川市,city,9280,7580,7530,40,1700,20,1670,840,50,20,760,10,10,18.0,8.19,9.05
2023,01227,01,北海道,歌志内市,,北海道 歌志内市,city,2010,1260,1250,10,740,,740,190,10,,540,,0,36.82,26.87,9.45
2023,01228,01,北海道,深川市,,北海道 深川市,city,11250,8810,8770,40,2440,40,2380,1230,30,10,1110,20,30,21.16,9.87,10.93
2023,01229,01,北海道,富良野市,,北海道 富良野市,city,11000,9150,9040,110,1850,50,1800,990,80,50,680,10,0,16.36,6.18,9.0
2023,01230,01,北海道,登別市,,北海道 登別市,city,24240,19790,19580,210,4450,70,4360,2090,150,80,2040,20,80,17.99,8.42,8.62
2023,01231,01,北海道,恵庭市,,北海道 恵庭市,city,34500,30340,30080,260,4160,40,4050,2880,120,10,1040,70,20,11.74,3.01,8.35
2023,01233,01,北海道,伊達市,,北海道 伊達市,city,17390,14350,14270,80,3040,60,2960,1090,80,70,1720,20,30,17.02,9.89,6.27
2023,01234,01,北海道,北広島市,,北海道 北広島市,city,26350,24250,23950,300,2090,20,2050,930,140,50,920,30,70,7.78,3.49,3.53
2023,01235,01,北海道,石狩市,,北海道 石狩市,city,26260,24030,23950,80,2230,20,2210,930,80,50,1150,,120,8.42,4.38,3.54
2023,01236,01,北海道,北斗市,,北海道 北斗市,city,21570,18410,18340,70,3160,40,3120,1450,90,30,1550,,50,14.46,7.19,6.72
2023,01303,01,北海道,当別町,,北海道 当別町,city,8340,7190,7100,90,1160,20,1120,510,,150,460,20,,13.43,5.52,6.12
2023,01337,01,北海道,七飯町,,北海道 七飯町,city,15090,12310,12230,90,2770,60,2690,700,330,130,1530,20,10,17.83,10.14,4.64
2023,01346,01,北海道,八雲町,,北海道 八雲町,city,8060,6710,6690,20,1350,30,1310,430,40,30,810,10,40,16.25,10.05,5.33
2023,01400,01,北海道,倶知安町,,北海道 倶知安町,city,9150,7240,7120,120,1910,180,1730,550,30,420,730,,10,18.91,7.98,6.01
2023,01408,01,北海道,余市町,,北海道 余市町,city,9580,7590,7530,70,1980,70,1870,820,130,10,910,50,100,19.52,9.5,8.56
2023,01543,01,北海道,美幌町,,北海道 美幌町,city,9320,7840,7790,50,1480,70,1380,540,60,50,740,30,,14.81,7.94,5.79
2023,01555,01,北海道,遠軽町,,北海道 遠軽町,city,10910,8630,8590,40,2280,170,2110,650,30,120,1320,,,19.34,12.1,5.96
2023,01578,01,北海道,白老町,,北海道 白老町,city,11010,7550,7500,50,3460,20,3440,750,,1290,1400,,10,31.24,12.72,6.81
2023,01610,01,北海道,新ひだか町,,北海道 新ひだか町,city,13070,10290,10270,20,2780,90,2690,1350,280,,1070,,,20.58,8.19,10.33
2023,01631,01,北海道,音更町,,北海道 音更町,city,20620,18340,18260,80,2280,80,2200,1130,80,30,960,,10,10.67,4.66,5.48
2023,01637,01,北海道,芽室町,,北海道 芽室町,city,8500,7570,7480,90,930,,930,570,,,360,,,10.94,4.24,6.71
2023,01643,01,北海道,幕別町,,北海道 幕別町,city,12220,10890,10800,90,1320,,1320,500,30,20,780,,,10.8,6.38,4.09
2023,01661,01,北海道,釧路町,,北海道 釧路町,city,10320,8490,8390,90,1830,40,1790,790,110,,890,,,17.34,8.62,7.66
2023,01692,01,北海道,中標津町,,北海道 中標津町,city,12490,10230,10110,110,2270,,2270,1190,270,30,790,,,18.17,6.33,9.53
2023,02000,02,青森県,,,青森県,prefecture,590300,488700,484800,3900,101600,1900,98800,39900,2200,1700,55000,900,1700,16.74,9.32,6.76
2023,02201,02,青森県,青森市,,青森県 青森市,city,134280,113690,112820,870,20590,130,20260,11040,540,300,8380,200,300,15.09,6.24,8.22
2023,02202,02,青森県,弘前市,,青森県 弘前市,city,80440,67070,66550,520,13370,490,12690,6490,200,260,5740,190,270,15.78,7.14,8.07
2023,02203,02,青森県,八戸市,,青森県 八戸市,city,113020,92330,91600,740,20690,220,20280,10490,440,250,9100,190,280,17.94,8.05,9.28
2023,02204,02,青森県,黒石市,,青森県 黒石市,city,12970,11280,11220,60,1690,40,1630,460,20,80,1080,20,30,12.57,8.33,3.55
2023,02205,02,青森県,五所川原市,,青森県 五所川原市,city,24380,20050,19860,180,4330,10,4330,1660,140,40,2490,,80,17.76,10.21,6.81
2023,02206,02,青森県,十和田市,,青森県 十和田市,city,30410,24590,24400,190,5820,260,5550,2340,150,160,2890,10,80,18.25,9.5,7.69
2023,02207,02,青森県,三沢市,,青森県 三沢市,city,20750,16800,16610,190,3950,50,3760,2220,20,10,1510,140,40,18.12,7.28,10.7
2023,02208,02,青森県,むつ市,,青森県 むつ市,city,28850,22820,22720,100,6030,30,5990,1690,30,120,4160,10,30,20.76,14.42,5.86
2023,02209,02,青森県,つがる市,,青森県 つがる市,city,12510,10270,10180,90,2230,50,2180,240,40,10,1890,10,80,17.43,15.11,1.92
2023,02210,02,青森県,平川市,,青森県 平川市,city,12020,10400,10370,30,1620,10,1610,160,,160,1290,,20,13.39,10.73,1.33
2023,02408,02,青森県,東北町,,青森県 東北町,city,6430,5620,5560,60,800,10,770,70,,,690,20,50,11.98,10.73,1.09
2023,02412,02,青森県,おいらせ町,,青森県 おいらせ町,city,9690,8650,8630,20,1050,20,1020,450,100,,470,,50,10.53,4.85,4.64
2023,02442,02,青森県,五戸町,,青森県 五戸町,city,6660,5950,5930,20,710,,710,100,,,610,,30,10.66,9.16,1.5
